index,name,r,g,b,a
2,Left-Cerebral-White-Matter,245,245,245,0
4,Left-Lateral-Ventricle,120,18,134,0
5,Left-Inf-Lat-Vent,196,58,250,0
7,Left-Cerebellum-White-Matter,220,248,164,0
8,Left-Cerebellum-Cortex,230,148,34,0
10,Left-Thalamus-Proper,0,118,14,0
11,Left-Caudate,122,186,220,0
12,Left-Putamen,236,13,176,0
13,Left-Pallidum,12,48,255,0
14,3rd-Ventricle,204,182,142,0
15,4th-Ventricle,42,204,164,0
16,Brain-Stem,119,159,176,0
17,Left-Hippocampus,220,216,20,0
18,Left-Amygdala,103,255,255,0
24,CSF,60,60,60,0
26,Left-Accumbens-area,255,165,0,0
28,Left-VentralDC,165,42,42,0
30,Left-vessel,160,32,240,0
31,Left-choroid-plexus,0,200,200,0
41,Right-Cerebral-White-Matter,0,225,0,0
43,Right-Lateral-Ventricle,120,18,134,0
44,Right-Inf-Lat-Vent,196,58,250,0
46,Right-Cerebellum-White-Matter,220,248,164,0
47,Right-Cerebellum-Cortex,230,148,34,0
49,Right-Thalamus-Proper,0,118,14,0
50,Right-Caudate,122,186,220,0
51,Right-Putamen,236,13,176,0
52,Right-Pallidum,13,48,255,0
53,Right-Hippocampus,220,216,20,0
54,Right-Amygdala,103,255,255,0
58,Right-Accumbens-area,255,165,0,0
60,Right-VentralDC,165,42,42,0
62,Right-vessel,160,32,240,0
63,Right-choroid-plexus,0,200,221,0
72,5th-Ventricle,120,190,150,0
77,WM-hypointensities,200,70,255,0
80,non-WM-hypointensities,164,108,226,0
85,Optic-Chiasm,234,169,30,0
251,CC_Posterior,0,0,64,0
252,CC_Mid_Posterior,0,0,112,0
253,CC_Central,0,0,160,0
254,CC_Mid_Anterior,0,0,208,0
255,CC_Anterior,0,0,255,0
11100,ctx_lh_Unknown,0,0,0,0
11101,ctx_lh_G_and_S_frontomargin,23,220,60,0
11102,ctx_lh_G_and_S_occipital_inf,23,60,180,0
11103,ctx_lh_G_and_S_paracentral,63,100,60,0
11104,ctx_lh_G_and_S_subcentral,63,20,220,0
11105,ctx_lh_G_and_S_transv_frontopol,13,0,250,0
11106,ctx_lh_G_and_S_cingul-Ant,26,60,0,0
11107,ctx_lh_G_and_S_cingul-Mid-Ant,26,60,75,0
11108,ctx_lh_G_and_S_cingul-Mid-Post,26,60,150,0
11109,ctx_lh_G_cingul-Post-dorsal,25,60,250,0
11110,ctx_lh_G_cingul-Post-ventral,60,25,25,0
11111,ctx_lh_G_cuneus,180,20,20,0
11112,ctx_lh_G_front_inf-Opercular,220,20,100,0
11113,ctx_lh_G_front_inf-Orbital,140,60,60,0
11114,ctx_lh_G_front_inf-Triangul,180,220,140,0
11115,ctx_lh_G_front_middle,140,100,180,0
11116,ctx_lh_G_front_sup,180,20,140,0
11117,ctx_lh_G_Ins_lg_and_S_cent_ins,23,10,10,0
11118,ctx_lh_G_insular_short,225,140,140,0
11119,ctx_lh_G_occipital_middle,180,60,180,0
11120,ctx_lh_G_occipital_sup,20,220,60,0
11121,ctx_lh_G_oc-temp_lat-fusifor,60,20,140,0
11122,ctx_lh_G_oc-temp_med-Lingual,220,180,140,0
11123,ctx_lh_G_oc-temp_med-Parahip,65,100,20,0
11124,ctx_lh_G_orbital,220,60,20,0
11125,ctx_lh_G_pariet_inf-Angular,20,60,220,0
11126,ctx_lh_G_pariet_inf-Supramar,100,100,60,0
11127,ctx_lh_G_parietal_sup,220,180,220,0
11128,ctx_lh_G_postcentral,20,180,140,0
11129,ctx_lh_G_precentral,60,140,180,0
11130,ctx_lh_G_precuneus,25,20,140,0
11131,ctx_lh_G_rectus,20,60,100,0
11132,ctx_lh_G_subcallosal,60,220,20,0
11133,ctx_lh_G_temp_sup-G_T_transv,60,60,220,0
11134,ctx_lh_G_temp_sup-Lateral,220,60,220,0
11135,ctx_lh_G_temp_sup-Plan_polar,65,220,60,0
11136,ctx_lh_G_temp_sup-Plan_tempo,25,140,20,0
11137,ctx_lh_G_temporal_inf,220,220,100,0
11138,ctx_lh_G_temporal_middle,180,60,60,0
11139,ctx_lh_Lat_Fis-ant-Horizont,61,20,220,0
11140,ctx_lh_Lat_Fis-ant-Vertical,61,20,60,0
11141,ctx_lh_Lat_Fis-post,61,60,100,0
11143,ctx_lh_Pole_occipital,140,20,60,0
11144,ctx_lh_Pole_temporal,220,180,20,0
11145,ctx_lh_S_calcarine,63,180,180,0
11146,ctx_lh_S_central,221,20,10,0
11147,ctx_lh_S_cingul-Marginalis,221,20,100,0
11148,ctx_lh_S_circular_insula_ant,221,60,140,0
11149,ctx_lh_S_circular_insula_inf,221,20,220,0
11150,ctx_lh_S_circular_insula_sup,61,220,220,0
11151,ctx_lh_S_collat_transv_ant,100,200,200,0
11152,ctx_lh_S_collat_transv_post,10,200,200,0
11153,ctx_lh_S_front_inf,221,220,20,0
11154,ctx_lh_S_front_middle,141,20,100,0
11155,ctx_lh_S_front_sup,61,220,100,0
11156,ctx_lh_S_interm_prim-Jensen,141,60,20,0
11157,ctx_lh_S_intrapariet_and_P_trans,143,20,220,0
11158,ctx_lh_S_oc_middle_and_Lunatus,101,60,220,0
11159,ctx_lh_S_oc_sup_and_transversal,21,20,140,0
11160,ctx_lh_S_occipital_ant,61,20,180,0
11161,ctx_lh_S_oc-temp_lat,221,140,20,0
11162,ctx_lh_S_oc-temp_med_and_Lingual,141,100,220,0
11163,ctx_lh_S_orbital_lateral,221,100,20,0
11164,ctx_lh_S_orbital_med-olfact,181,200,20,0
11165,ctx_lh_S_orbital-H_Shaped,101,20,20,0
11166,ctx_lh_S_parieto_occipital,101,100,180,0
11167,ctx_lh_S_pericallosal,181,220,20,0
11168,ctx_lh_S_postcentral,21,140,200,0
11169,ctx_lh_S_precentral-inf-part,21,20,240,0
11170,ctx_lh_S_precentral-sup-part,21,20,200,0
11171,ctx_lh_S_suborbital,21,20,60,0
11172,ctx_lh_S_subparietal,101,60,60,0
11173,ctx_lh_S_temporal_inf,21,180,180,0
11174,ctx_lh_S_temporal_sup,223,220,60,0
11175,ctx_lh_S_temporal_transverse,221,60,60,0
12100,ctx_rh_Unknown,0,0,0,0
12101,ctx_rh_G_and_S_frontomargin,23,220,60,0
12102,ctx_rh_G_and_S_occipital_inf,23,60,180,0
12103,ctx_rh_G_and_S_paracentral,63,100,60,0
12104,ctx_rh_G_and_S_subcentral,63,20,220,0
12105,ctx_rh_G_and_S_transv_frontopol,13,0,250,0
12106,ctx_rh_G_and_S_cingul-Ant,26,60,0,0
12107,ctx_rh_G_and_S_cingul-Mid-Ant,26,60,75,0
12108,ctx_rh_G_and_S_cingul-Mid-Post,26,60,150,0
12109,ctx_rh_G_cingul-Post-dorsal,25,60,250,0
12110,ctx_rh_G_cingul-Post-ventral,60,25,25,0
12111,ctx_rh_G_cuneus,180,20,20,0
12112,ctx_rh_G_front_inf-Opercular,220,20,100,0
12113,ctx_rh_G_front_inf-Orbital,140,60,60,0
12114,ctx_rh_G_front_inf-Triangul,180,220,140,0
12115,ctx_rh_G_front_middle,140,100,180,0
12116,ctx_rh_G_front_sup,180,20,140,0
12117,ctx_rh_G_Ins_lg_and_S_cent_ins,23,10,10,0
12118,ctx_rh_G_insular_short,225,140,140,0
12119,ctx_rh_G_occipital_middle,180,60,180,0
12120,ctx_rh_G_occipital_sup,20,220,60,0
12121,ctx_rh_G_oc-temp_lat-fusifor,60,20,140,0
12122,ctx_rh_G_oc-temp_med-Lingual,220,180,140,0
12123,ctx_rh_G_oc-temp_med-Parahip,65,100,20,0
12124,ctx_rh_G_orbital,220,60,20,0
12125,ctx_rh_G_pariet_inf-Angular,20,60,220,0
12126,ctx_rh_G_pariet_inf-Supramar,100,100,60,0
12127,ctx_rh_G_parietal_sup,220,180,220,0
12128,ctx_rh_G_postcentral,20,180,140,0
12129,ctx_rh_G_precentral,60,140,180,0
12130,ctx_rh_G_precuneus,25,20,140,0
12131,ctx_rh_G_rectus,20,60,100,0
12132,ctx_rh_G_subcallosal,60,220,20,0
12133,ctx_rh_G_temp_sup-G_T_transv,60,60,220,0
12134,ctx_rh_G_temp_sup-Lateral,220,60,220,0
12135,ctx_rh_G_temp_sup-Plan_polar,65,220,60,0
12136,ctx_rh_G_temp_sup-Plan_tempo,25,140,20,0
12137,ctx_rh_G_temporal_inf,220,220,100,0
12138,ctx_rh_G_temporal_middle,180,60,60,0
12139,ctx_rh_Lat_Fis-ant-Horizont,61,20,220,0
12140,ctx_rh_Lat_Fis-ant-Vertical,61,20,60,0
12141,ctx_rh_Lat_Fis-post,61,60,100,0
12143,ctx_rh_Pole_occipital,140,20,60,0
12144,ctx_rh_Pole_temporal,220,180,20,0
12145,ctx_rh_S_calcarine,63,180,180,0
12146,ctx_rh_S_central,221,20,10,0
12147,ctx_rh_S_cingul-Marginalis,221,20,100,0
12148,ctx_rh_S_circular_insula_ant,221,60,140,0
12149,ctx_rh_S_circular_insula_inf,221,20,220,0
12150,ctx_rh_S_circular_insula_sup,61,220,220,0
12151,ctx_rh_S_collat_transv_ant,100,200,200,0
12152,ctx_rh_S_collat_transv_post,10,200,200,0
12153,ctx_rh_S_front_inf,221,220,20,0
12154,ctx_rh_S_front_middle,141,20,100,0
12155,ctx_rh_S_front_sup,61,220,100,0
12156,ctx_rh_S_interm_prim-Jensen,141,60,20,0
12157,ctx_rh_S_intrapariet_and_P_trans,143,20,220,0
12158,ctx_rh_S_oc_middle_and_Lunatus,101,60,220,0
12159,ctx_rh_S_oc_sup_and_transversal,21,20,140,0
12160,ctx_rh_S_occipital_ant,61,20,180,0
12161,ctx_rh_S_oc-temp_lat,221,140,20,0
12162,ctx_rh_S_oc-temp_med_and_Lingual,141,100,220,0
12163,ctx_rh_S_orbital_lateral,221,100,20,0
12164,ctx_rh_S_orbital_med-olfact,181,200,20,0
12165,ctx_rh_S_orbital-H_Shaped,101,20,20,0
12166,ctx_rh_S_parieto_occipital,101,100,180,0
12167,ctx_rh_S_pericallosal,181,220,20,0
12168,ctx_rh_S_postcentral,21,140,200,0
12169,ctx_rh_S_precentral-inf-part,21,20,240,0
12170,ctx_rh_S_precentral-sup-part,21,20,200,0
12171,ctx_rh_S_suborbital,21,20,60,0
12172,ctx_rh_S_subparietal,101,60,60,0
12173,ctx_rh_S_temporal_inf,21,180,180,0
12174,ctx_rh_S_temporal_sup,223,220,60,0
12175,ctx_rh_S_temporal_transverse,221,60,60,0
